Date,Time,Item_Code,Quantity_Sold,Unit_Selling_Price,Sale_or_Return,Discount
2020-07-01,09:15:07.924,102900005117056,0.396,7.6,sale,No
2020-07-01,09:17:27.295,102900005115960,0.849,3.2,sale,No
2020-07-01,09:17:33.905,102900005117056,0.409,7.6,sale,No
2020-07-01,09:19:45.450,102900005115823,0.421,10.0,sale,No
2020-07-01,09:20:23.686,102900005115908,0.539,8.0,sale,No
2020-07-01,09:21:55.556,102900005117056,0.277,7.6,sale,No
2020-07-01,09:21:56.536,102900005115779,0.338,8.0,sale,No
2020-07-01,09:22:01.274,102900005117056,0.132,7.6,sale,No
2020-07-01,09:22:01.476,102900005115779,0.213,8.0,sale,No
2020-07-01,09:22:15.998,102900011008522,0.514,8.0,sale,No
2020-07-01,09:22:21.264,102900005118824,0.251,10.0,sale,No
2020-07-01,09:24:21.833,102900005115984,0.251,6.0,sale,No
2020-07-01,09:24:21.905,102900005116530,0.217,18.0,sale,No
2020-07-01,09:24:57.873,102900005115984,0.468,6.0,sale,No
2020-07-01,09:25:31.342,102SS900005116226,0.589,8.0,sale,No
2020-07-01,09:25:45.811,102900005118824,0.711,10.0,sale,No
2020-07-01,09:26:04.530,102900005115779,1.003,8.0,sale,No
2020-07-01,09:28:01.983,102900005116530,0.095,18.0,sale,No
2020-07-01,09:30:17.045,102900005116233,0.15,10.0,sale,No
2020-07-01,09:30:26.948,102900005115984,0.502,6.0,sale,No
2020-07-01,09:31:42.483,102900005115984,0.452,6.0,sale,No
2020-07-01,09:32:25.623,102900005115908,0.501,8.0,sale,No
2020-07-01,09:32:59.701,102900005115779,0.201,8.0,sale,No
2020-07-01,09:33:08.981,102900005115779,0.439,8.0,sale,No
2020-07-01,09:33:09.579,102900005115762,0.686,6.0,sale,No
2020-07-01,09:33:09.998,102900005116714,0.329,14.0,sale,No
2020-07-01,09:35:02.477,102900005115908,0.251,8.0,sale,No
2020-07-01,09:35:02.557,102900005118817,0.243,14.0,sale,No
2020-07-01,09:35:13.164,102900005116530,0.256,18.0,sale,No
2020-07-01,09:35:40.456,102900005115984,0.318,6.0,sale,No
2020-07-01,09:36:36.108,102900011009970,0.445,9.0,sale,No
2020-07-01,09:36:41.217,102900005115779,0.363,8.0,sale,No
2020-07-01,09:36:42.447,102900005117209,0.482,16.0,sale,No
2020-07-01,09:36:43.131,102900011001219,0.343,14.0,sale,No
2020-07-01,09:38:48.342,102900005115984,0.502,6.0,sale,No
2020-07-01,09:39:03.622,102900005115779,0.301,8.0,sale,No
2020-07-01,09:41:09.342,102900005117056,0.198,7.6,sale,No
2020-07-01,09:41:22.206,102900051004294,0.172,14.0,sale,No
2020-07-01,09:41:22.701,102900005117056,0.66,7.6,sale,No
2020-07-01,09:41:37.873,102900005115984,0.753,6.0,sale,No
2020-07-01,09:41:50.626,102900005115984,0.552,6.0,sale,No
2020-07-01,09:41:50.904,102900051004294,0.057,14.0,sale,No
2020-07-01,09:43:10.108,102900005115960,1.101,3.2,sale,No
2020-07-01,09:44:13.951,102900005116547,0.435,6.0,sale,No
2020-07-01,09:44:30.811,102900005115984,0.201,6.0,sale,No
2020-07-01,09:44:54.358,102900005116547,0.452,6.0,sale,No
2020-07-01,09:46:00.552,102900005115984,0.385,6.0,sale,No
2020-07-01,09:46:00.634,102900005116714,0.522,14.0,sale,No
2020-07-01,09:46:32.585,102900005115984,0.435,6.0,sale,No
